% Model:              Simulacion Completa - copia.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 1 2023, 10:47
% Dimension:          3
% Nodes:              21406
% Expressions:        2
% Description:        Temperatura
% Length unit:        m
% X                       Y                        Z                        T (K) @ t=98             T (K) @ t=119
-0.054288370677631745     -0.025546125805788376    0.09                     341.9140200886449        360.0639871817001
-0.05456665613819546      -0.027818199255462205    0.08999999999999998      341.9135717557794        360.0634662270488
-0.05566113853209351      -0.025558456672120946    0.089                    341.9142405865423        360.06424563264466
-0.05531095551541852      -0.023250519291976024    0.09                     341.91459372742514       360.0646553179861
-0.05666237316264584      -0.023255903458975342    0.09000000000000001      341.9147114178004        360.0647929095015
-0.056662373162645954     -0.02325590345897508     0.089                    341.91480136493584       360.06489890446244
-0.056236628241811464     -0.02091417689137448     0.08999999999999998      341.9151313633794        360.0652830912973
-0.05456665613819558      -0.02781819925546197     0.08899999999999998      341.9136588286228        360.06356872416717
-0.05317087160755243      -0.027797075374298607    0.09                     341.91341701020207       360.0632856500602
-0.05338083801332774      -0.030031378634170915    0.09                     341.9129615800439        360.06275636205487
-0.058377451093803163     -0.018537378250015047    0.09000000000000001      341.9157044756534        360.06595455754535
-0.05837745109380324      -0.018537378250014783    0.08899999999999998      341.9157910413602        360.06605683153055
-0.05706339097770921      -0.018541019662496844    0.09                     341.915624722455         360.0658606699966
-0.05756844799747706      -0.020914292190852113    0.08999999999999998      341.91522928442527       360.0653978777759
-0.057789432694557566     -0.016135136190705397    0.09                     341.9160773131888        360.0663925025963
-0.06263670272585599      -0.0037589916893106257   0.08899999999999998      341.91759626776735       360.0682377300821
-0.06113361565047624      -0.0037640794414336583   0.089                    341.9176292990442        360.0682762652835
-0.05988098668910967      -0.003767339188683905    0.08999999999999998      341.9175270411215        360.06815583954943
-0.06092739643339504      -0.006266408629576564    0.09                     341.91738074307193       360.0679659962381
-0.06432707296988296      -0.00516124307270627     0.09                     341.91738437563106       360.06797949580874
-0.06243593651422279      -0.0062582872148356904   0.09                     341.91734255520134       360.06792344894
-0.066                    -0.002                   0.0875                   341.91792140487803       360.06861919365485
-0.06428797619677443      -0.0010339122289580549   0.08665270485641874      341.91833830557493       360.06912251875923
-0.0533808380133279       -0.030031378634170686    0.08900000000000001      341.91304938294917       360.06285968016533
-0.05196045618428196      -0.02999944693899367     0.09                     341.9127860762884        360.0625515911983
-0.05210559618986603      -0.03219424223341981     0.09                     341.9123262018815        360.06201657819537
-0.05210559618986618      -0.03219424223341957     0.089                    341.91241254754607       360.0621183727754
-0.050659122286921626     -0.03214931944136056     0.09                     341.91213101993435       360.0617888103238
-0.050742842700186        -0.034303037478381454    0.09                     341.91167318277985       360.0612561124471
-0.05257838424302123      -0.028905250567902316    0.0877049098008347       341.91342876694796       360.06330404779686
-0.050742842700186176     -0.03430303747838123     0.08900000000000002      341.9117596316883        360.061358397632
-0.04926886779457279      -0.03424277182288627     0.09000000000000001      341.9114590159403        360.0610065458676
-0.049294492273506046     -0.03635401004420385     0.09000000000000001      341.91100661463173       360.0604814442987
-0.05132182760586245      -0.03108166680205769     0.08773899264180363      341.91277388189286       360.0625418868677
-0.04995637771724879      -0.033231917268968514    0.0876671844777418       341.9121195638891        360.0617806562487
-0.049294492273506234     -0.03635401004420362     0.089                    341.91109233430967       360.06058293786003
-0.04779172872029958      -0.036275879338737424    0.09                     341.9107734550514        360.060210520522
-0.047762816651243635     -0.038343510648741023    0.09000000000000001      341.9103295419552        360.05969601239826
-0.04852590076263898      -0.03528791514349515     0.0875774664100589       341.9114652407612        360.0610207399141
-0.03895788758497253      0.04726278733417766      0.09                     341.90697590386765       360.0559653968506
-0.039204583109261004     0.04541903907618702      0.09                     341.90733527961345       360.056363487587
